ID,DIA,MES,ANIO,ESTADO,COMUNIDAD,SITIO,LATITUD,LONGITUD,HABITAT,ZONA,PROTECCION,ANP,MONITOR,HORA_INICIAL,HORA_FINAL,PROFUNDIDAD_INICIAL,PROFUNDIDAD_FINAL,TEMPERATURA,VISIBILIDAD,CORRIENTE,TRANSECTO,GENERO,ESPECIE,ABUNDANCIA
12 9 2023 Babencho 1,12,9,2023,Baja California Sur,Isla Natividad,Babencho,27.51759,-115.11664,Bosque de kelp,Control,Ninguna,Reserva de la Biosfera El Vizcaino,Sulema Garcia,11:39,11:45,16,16,22,9,NA,1,Haliotis,Haliotis corrugata,3
12 9 2023 Babencho 1,12,9,2023,Baja California Sur,Isla Natividad,Babencho,27.51759,-115.11664,Bosque de kelp,Control,Ninguna,Reserva de la Biosfera El Vizcaino,Sulema Garcia,11:39,11:45,16,16,22,9,NA,1,Megastraea,Megastraea turbanica,45
12 9 2023 Babencho 1,12,9,2023,Baja California Sur,Isla Natividad,Babencho,27.51759,-115.11664,Bosque de kelp,Control,Ninguna,Reserva de la Biosfera El Vizcaino,Sulema Garcia,11:39,11:45,16,16,22,9,NA,1,Megathura,Megathura crenulata,1
12 9 2023 Babencho 1,12,9,2023,Baja California Sur,Isla Natividad,Babencho,27.51759,-115.11664,Bosque de kelp,Control,Ninguna,Reserva de la Biosfera El Vizcaino,Sulema Garcia,11:39,11:45,16,16,22,9,NA,1,Muricea,Muricea spp,2
12 9 2023 Babencho 2,12,9,2023,Baja California Sur,Isla Natividad,Babencho,27.51869,-115.11312,Bosque de kelp,Control,Ninguna,Reserva de la Biosfera El Vizcaino,Sulema Garcia,13:24,13:33,10,12,22,5,NA,2,Haliotis,Haliotis corrugata,8
12 9 2023 Babencho 2,12,9,2023,Baja California Sur,Isla Natividad,Babencho,27.51869,-115.11312,Bosque de kelp,Control,Ninguna,Reserva de la Biosfera El Vizcaino,Sulema Garcia,13:24,13:33,10,12,22,5,NA,2,Haliotis,Haliotis fulgens,2
12 9 2023 Babencho 2,12,9,2023,Baja California Sur,Isla Natividad,Babencho,27.51869,-115.11312,Bosque de kelp,Control,Ninguna,Reserva de la Biosfera El Vizcaino,Sulema Garcia,13:24,13:33,10,12,22,5,NA,2,Panulirus,Panulirus interruptus,2
12 9 2023 Babencho 2,12,9,2023,Baja California Sur,Isla Natividad,Babencho,27.51869,-115.11312,Bosque de kelp,Control,Ninguna,Reserva de la Biosfera El Vizcaino,Sulema Garcia,13:24,13:33,10,12,22,5,NA,2,Megastraea,Megastraea turbanica,27
12 9 2023 Babencho 2,12,9,2023,Baja California Sur,Isla Natividad,Babencho,27.51869,-115.11312,Bosque de kelp,Control,Ninguna,Reserva de la Biosfera El Vizcaino,Sulema Garcia,13:24,13:33,10,12,22,5,NA,2,Megathura,Megathura crenulata,1
12 9 2023 Babencho 2,12,9,2023,Baja California Sur,Isla Natividad,Babencho,27.51869,-115.11312,Bosque de kelp,Control,Ninguna,Reserva de la Biosfera El Vizcaino,Sulema Garcia,13:24,13:33,10,12,22,5,NA,2,Crassadoma,Crassadoma gigantea,2
