id,year,community,site_name,transect,species,abundance
17 8 2013 Caracolera 7,2013,El Rosario,Caracolera,7,Mesocentrotus franciscanus,50
15 8 2013 La Lobera 5,2013,El Rosario,La Lobera,5,Mesocentrotus franciscanus,50
15 8 2013 La Lobera 6,2013,El Rosario,La Lobera,6,Mesocentrotus franciscanus,50
15 8 2013 La Lobera 10,2013,El Rosario,La Lobera,10,Mesocentrotus franciscanus,50
19 8 2013 Picacho 2,2013,El Rosario,Picacho,2,Mesocentrotus franciscanus,50
19 8 2013 Picacho 6,2013,El Rosario,Picacho,6,Mesocentrotus franciscanus,50
19 8 2013 Picacho 10,2013,El Rosario,Picacho,10,Mesocentrotus franciscanus,50
16 8 2013 Piedra Vidal 1,2013,El Rosario,Piedra Vidal,1,Mesocentrotus franciscanus,50
16 8 2013 Piedra Vidal 3,2013,El Rosario,Piedra Vidal,3,Mesocentrotus franciscanus,50
16 8 2013 Piedra Vidal 5,2013,El Rosario,Piedra Vidal,5,Mesocentrotus franciscanus,50
16 8 2013 Piedra Vidal 9,2013,El Rosario,Piedra Vidal,9,Mesocentrotus franciscanus,50
12 8 2013 Punta Baja 1,2013,El Rosario,Punta Baja,1,Mesocentrotus franciscanus,50
12 8 2013 Punta Baja 3,2013,El Rosario,Punta Baja,3,Mesocentrotus franciscanus,50
12 8 2013 Punta Baja 7,2013,El Rosario,Punta Baja,7,Mesocentrotus franciscanus,50
16 8 2013 Punta Patos 1,2013,El Rosario,Punta Patos,1,Mesocentrotus franciscanus,50
16 8 2013 Punta Patos 2,2013,El Rosario,Punta Patos,2,Mesocentrotus franciscanus,50
16 8 2013 Punta Patos 3,2013,El Rosario,Punta Patos,3,Mesocentrotus franciscanus,50
16 8 2013 Punta Patos 4,2013,El Rosario,Punta Patos,4,Mesocentrotus franciscanus,50
16 8 2013 Punta Patos 5,2013,El Rosario,Punta Patos,5,Mesocentrotus franciscanus,50
16 8 2013 Punta Patos 6,2013,El Rosario,Punta Patos,6,Mesocentrotus franciscanus,50
16 8 2013 Punta Patos 7,2013,El Rosario,Punta Patos,7,Mesocentrotus franciscanus,50
16 8 2013 Punta Patos 8,2013,El Rosario,Punta Patos,8,Mesocentrotus franciscanus,50
16 8 2013 Punta Patos 9,2013,El Rosario,Punta Patos,9,Mesocentrotus franciscanus,50
16 8 2013 Punta Patos 10,2013,El Rosario,Punta Patos,10,Mesocentrotus franciscanus,50
15 8 2013 Sportfish 9,2013,El Rosario,Sportfish,9,Mesocentrotus franciscanus,50
20 8 2018 Caracolera 3,2018,El Rosario,Caracolera,3,Mesocentrotus franciscanus,50
20 8 2018 Caracolera 13,2018,El Rosario,Caracolera,13,Mesocentrotus franciscanus,50
21 8 2018 Picacho 4,2018,El Rosario,Picacho,4,Mesocentrotus franciscanus,50
22 8 2018 Picacho 11,2018,El Rosario,Picacho,11,Mesocentrotus franciscanus,50
22 8 2018 Picacho 12,2018,El Rosario,Picacho,12,Mesocentrotus franciscanus,50
3 8 2019 Picacho 2,2019,El Rosario,Picacho,2,Mesocentrotus franciscanus,50
3 8 2020 Picacho 9,2020,El Rosario,Picacho,9,Mesocentrotus franciscanus,50
3 8 2020 Picacho 15,2020,El Rosario,Picacho,15,Mesocentrotus franciscanus,50
12 8 2021 Chinatown 16,2021,El Rosario,Chinatown,16,Panulirus interruptus,50
7 8 2021 la lobera 9,2021,El Rosario,La Lobera,9,Mesocentrotus franciscanus,50
7 8 2021 la lobera 15,2021,El Rosario,La Lobera,15,Mesocentrotus franciscanus,50
7 8 2021 la lobera 16,2021,El Rosario,La Lobera,16,Mesocentrotus franciscanus,50
5 8 2021 Picacho 16,2021,El Rosario,Picacho,16,Mesocentrotus franciscanus,50
10 8 2021 Piedra Vidal 11,2021,El Rosario,Piedra Vidal,11,Mesocentrotus franciscanus,50
6 8 2022 Chinatown 2,2022,El Rosario,Chinatown,2,Mesocentrotus franciscanus,50
6 8 2022 Chinatown 10,2022,El Rosario,Chinatown,10,Mesocentrotus franciscanus,50
6 8 2022 Chinatown 14,2022,El Rosario,Chinatown,14,Mesocentrotus franciscanus,50
15 8 2022 Lazaro 9,2022,El Rosario,Lazaro,9,Mesocentrotus franciscanus,50
11 8 2022 Picacho 13,2022,El Rosario,Picacho,13,Mesocentrotus franciscanus,50
11 8 2022 Picacho 14,2022,El Rosario,Picacho,14,Mesocentrotus franciscanus,50
9 8 2022 Punta Baja 13,2022,El Rosario,Punta Baja,13,Mesocentrotus franciscanus,50
3 8 2022 Sportfish 12,2022,El Rosario,Sportfish,12,Mesocentrotus franciscanus,50
11 8 2023 Chinatown 4,2023,El Rosario,Chinatown,4,Mesocentrotus franciscanus,50
11 8 2023 Chinatown 8,2023,El Rosario,Chinatown,8,Mesocentrotus franciscanus,50
11 8 2023 Chinatown 12,2023,El Rosario,Chinatown,12,Mesocentrotus franciscanus,50
10 8 2023 La Lobera 12,2023,El Rosario,La Lobera,12,Mesocentrotus franciscanus,50
10 8 2023 La Lobera 16,2023,El Rosario,La Lobera,16,Mesocentrotus franciscanus,50
4 8 2023 Picacho 8,2023,El Rosario,Picacho,8,Mesocentrotus franciscanus,50
4 8 2023 Picacho 10,2023,El Rosario,Picacho,10,Mesocentrotus franciscanus,50
4 8 2023 Picacho 14,2023,El Rosario,Picacho,14,Mesocentrotus franciscanus,50
